INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN4_0,FN4_0TN3_6,FN3_5TN3_1,FN3_0TN2_6,FN2_5TN2_1,FN2_0TN1_6,FN1_5TN1_1,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,
2021Mar,127,1.6,0,0,0,0,0,0,2.6051633318,2.0691468739,4.4991396558,7.796359283,11.5460303556,14.6136149629,15.8077532949,14.6140740213,11.5467557714,7.7970940613,4.4997050563,2.6051633318,,,,
2021Mar,128,1.1,,,,,,,1,2,4,12,22,35,13,5,3,1,1,1,,,,
2022,1,1.8,,,,,,,,1,3,5,10,20,30,20,7,3,1,,,,,
2022,2,1.5,0,0,0,0,0,0,0,0,0,0,0,30,60,10,0,0,0,0,,,,
2022,4,,,,,,,,,,,,,,,,,,,,,,,
2022,5,1.6,,,,,,,,,,5,10,25,35,20,5,,,,,,,
2022,6,1.5,,,,,,,,,,,15,35,35,15,,,,,,,,
2022,8,1.3,,,,,,1,3,5,10,12,15,20,15,12,5,2,,,,,,
2022,14,1.6,,,,,,,0,1,3,6,16,22,22,16,8,4,2,0,,,,
2022,15,1.2,,,,,,,,5,5,10,20,25,15,10,5,5,,,,,,
2022,16,1.2,,,,,1,1,3,4,6,11,15,20,15,11,6,4,2,1,,,,
2022,20,1.3,,,,,,,,,5,12,20,30,20,10,3,,,,,,,
2022,22,1.4,,,,,,,,,,10,15,35,30,10,,,,,,,,
2022,23,1.4,,,,,,,,,8,13,22,25,20,10,2,,,,,,,
2022,24,1.1827692804,,,,,,,1,2,6,12,28,14,14,12,6,4,1,,,,,
2022,26,1.4,,,,,,,,,,10,20,30,30,10,,,,,,,,
2022,30,,,,,,,,,,,,,,,,,,,,,,,
2022,31,2.15,,,,,,,,,,,,,,,,,,,,,,
2022,32,,,,,,,,,,,,,,,,,,,,,,,
2022,33,1.6,,,,,,,,,2,7,15,20,24,17,10,4,1,,,,,
2022,36,1.5,,,,,,,,,5,15,20,25,25,10,,,,,,,,
2022,37,2.1,,,,,,,,,,,4,25,30,32,9,,,,,,,
2022,38,1.6,,,,,,,,,,,,40,60,,,,,,,,,
2022,39,1.5,,,,,,,,,,5,10,30,35,15,5,,,,,,,
2022,41,,,,,,,,,,,,,,,,,,,,,,,
2022,42,,,,,,,,,,,,,,,,,,,,,,,
2022,45,,,,,,,,,,5,10,25,25,20,10,5,,,,,,,
2022,52,,,,,,,,,,,,,,,,,,,,,,,
2022,54,,,,,,,,,,,15,50,35,,,,,,,,,,
2022,56,1.1,,,,,,,,,5,5,30,40,20,,,,,,,,,
2022,61,,,,,,,,,,,,,,,,,,,,,,,
2022,63,1.6,,,,,,,,,,,10,30,40,20,,,,,,,,
