INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,
2018Jun,48,1.4,,,,,,55,45,,,,,,,,,,,,
2018Jun,49,1.1,,,,,,,,,,,,,,,,,,,
2018Jun,52,1.4,0,0,0,4,19,38,29,8,2,0,0,0,,,,,,,
2018Jun,56,1.2,,,,,20,60,20,,,,,,,,,,,,
2018Jun,61,1.3,,,,,10,35,35,15,5,,,,,,,,,,
2018Jun,70,,,,,,,,,,,,,,,,,,,,
2018Jun,80,,,,,,,,,,,,,,,,,,,,
2018Jun,82,1.4,,,,,,,,,,,,,,,,,,,
2018Jun,85,1.3820068624,.0003199776,.0153690686,.3367213192,3.3568694231,15.3320001829,32.2636187765,31.3804950533,14.1053847982,2.9202035549,.2768465259,.0119367883,.0002345315,,,,,,,
2018Jun,88,1.4,4,5,8,10,12,14,12,11,9,8,4,3,,,,,,,
2018Jun,89,1.4759725449,,1,2.5,5,15,20,28,20,5,2.5,1,,,,,,,,
2018Jun,93,1.7,,,,,,20,65,15,,,,,,,,,,,
2018Jun,94,1.669,,.5,1,3,10,19,36,19,7,3,1,.5,,,,,,,
2018Jun,95,1.6156730778,.6579336653,2.0779358479,5.4079618351,7.3706571892,9.3839099596,11.5074219438,23.9407258781,18.4180525096,13.8400084158,5.350955401,1.0536192671,.9908180875,,,,,,,
2018Jun,96,1.5,,,,5,10,25,45,10,5,,,,,,,,,,
2018Jun,97,1,,,,,,,,,,,,,,,,,,,
2018Jun,98,1.6,,,,,10,35,35,20,,,,,,,,,,,
2018Jun,99,1.5,,,,,,,,,,,,,,,,,,,
2018Jun,101,1.1,,,,,,,,,,,,,,,,,,,
2018Jun,102,1.3,,,,5,10,40,40,5,,,,,,,,,,,
2018Jun,103,1.8,,,,5,10,25,35,20,5,,,,,,,,,,
2018Jun,107,1.3078555672,.0021530884,.0612731767,.8611970081,5.9101874239,19.9014989896,33.002493769,26.9970615907,10.8867658686,2.1579407743,.2093158748,.0098839067,.0002285292,,,,,,,
2018Jun,108,1.8163886448,,,,2.16,9.8,17.71,25.39,22.87,14.82,6.77,.48,,,,,,,,
2018Jun,110,,0,0,0,5,20,42.5,27.5,5,0,0,0,0,,,,,,,
2018Jun,111,,,,,,,,,,,,,,,,,,,,
2018Jun,112,1.6,,,,5,10,20,30,20,10,5,,,,,,,,,
2018Jun,114,1.5,,,2,8,13,20,40,10,5,2,,,,,,,,,
